iteration		rss		heapTotal		heapUsed		external
1		70.063MB		50.828MB		21.888MB		0.016MB		
2		98.984MB		64.328MB		38.754MB		0.016MB		
3		87.285MB		52.328MB		21.353MB		0.008MB		
4		87.289MB		51.828MB		21.362MB		0.008MB		
5		87.637MB		52.328MB		21.338MB		0.008MB		
6		87.656MB		51.828MB		21.260MB		0.008MB		
7		87.426MB		52.828MB		21.258MB		0.008MB		
8		87.723MB		51.828MB		21.268MB		0.008MB		
9		87.488MB		52.328MB		21.291MB		0.008MB		
10		87.566MB		51.328MB		21.298MB		0.008MB		
11		87.367MB		52.328MB		21.269MB		0.008MB		
12		87.520MB		51.828MB		21.256MB		0.008MB		
13		87.813MB		52.328MB		21.279MB		0.008MB		
14		87.422MB		51.828MB		21.300MB		0.008MB		
15		87.324MB		52.328MB		21.278MB		0.008MB		
16		87.277MB		51.828MB		21.300MB		0.008MB		
17		87.547MB		51.828MB		21.296MB		0.008MB		
18		87.340MB		51.828MB		21.263MB		0.008MB		
19		87.559MB		52.328MB		21.287MB		0.008MB		
20		87.590MB		52.328MB		21.313MB		0.008MB		
21		87.672MB		51.828MB		21.256MB		0.008MB		
22		87.707MB		52.328MB		21.279MB		0.008MB		
23		87.527MB		52.328MB		21.267MB		0.008MB		
24		87.461MB		52.328MB		21.291MB		0.008MB		
25		87.352MB		52.328MB		21.248MB		0.008MB		
26		87.590MB		52.328MB		21.262MB		0.008MB		
27		87.418MB		52.328MB		21.253MB		0.008MB		
28		87.219MB		52.828MB		21.266MB		0.008MB		
29		87.125MB		52.328MB		21.294MB		0.008MB		
30		87.684MB		52.328MB		21.290MB		0.008MB		
31		87.371MB		52.328MB		21.259MB		0.008MB		
32		87.449MB		52.828MB		21.245MB		0.008MB		
33		87.477MB		52.328MB		21.296MB		0.008MB		
34		87.832MB		51.828MB		21.259MB		0.008MB		
35		87.516MB		52.328MB		21.280MB		0.008MB		
36		87.641MB		52.328MB		21.280MB		0.008MB		
37		87.496MB		52.328MB		21.271MB		0.008MB		
38		87.480MB		52.328MB		21.278MB		0.008MB		
39		87.551MB		51.828MB		21.293MB		0.008MB		
40		87.598MB		52.328MB		21.255MB		0.008MB		
